,distance_from_home,distance_from_last_transaction,ratio_to_median_purchase_price,repeat_retailer,used_chip,used_pin_number,online_order,fraud
126644,5.259635021393997,0.1909921873518553,0.5634768056965258,1.0,0.0,0.0,1.0,0.0
387259,1.1842700166088689,2.5526133092345997,0.1917561272140919,0.0,1.0,0.0,1.0,0.0
292480,75.05630363905965,2.721021710988301,0.0481104223927775,1.0,0.0,0.0,1.0,0.0
753205,9.924265354757592,0.6355374165668924,2.403932387396583,1.0,0.0,0.0,1.0,0.0
528851,15.213251947159632,1.2424428332038138,0.7023042343840754,1.0,0.0,0.0,1.0,0.0
428253,7.820387951516393,2.335630253197272,1.0971472729285745,1.0,0.0,0.0,1.0,0.0
621009,38.611867989306056,0.2274397913260962,0.2244440750771074,1.0,1.0,0.0,0.0,0.0
328602,30.38927235985624,0.1295221472255443,0.1198396852085714,1.0,1.0,0.0,0.0,0.0
246946,1.680660530456821,32.85159058567164,0.268969494233954,0.0,1.0,0.0,1.0,0.0
656018,10.460500640352585,8.448445769648169,2.0349597897497054,1.0,1.0,0.0,1.0,0.0
198864,3.940447962975829,0.1297999391582917,2.1520332216222897,1.0,1.0,0.0,1.0,0.0
789257,239.3950271818031,1.328571658905466,0.2843677603887494,1.0,1.0,0.0,0.0,0.0
806504,7.996461393047406,5.165965900748248,4.6241966933138645,1.0,0.0,0.0,1.0,1.0
99255,2.6173186729063427,0.1011384313929202,0.2135282982353522,1.0,1.0,0.0,1.0,0.0
232553,0.6521830199992541,0.5510271664098096,0.2030756638122174,0.0,0.0,0.0,1.0,0.0
907979,41.75241605173646,0.2009587569648085,4.571242910128055,1.0,1.0,0.0,1.0,1.0
45600,3.192198845344905,2.030645610940359,1.0127510342803576,1.0,0.0,0.0,1.0,0.0
39475,7.499368861329681,1.7769189024910692,1.159775924638112,1.0,0.0,0.0,1.0,0.0
208458,29.24364763215483,23.806718491673383,0.2452609626831722,1.0,1.0,0.0,1.0,0.0
284091,8.675260153567256,0.3497168779030805,1.7702652654457456,1.0,0.0,1.0,0.0,0.0
21243,2.1160280331331767,0.7113863594142316,1.2474785439729037,1.0,0.0,0.0,0.0,0.0
46818,73.03888164633884,12.472838520376348,2.644274976516081,1.0,0.0,0.0,0.0,0.0
739192,17.898457013487874,0.3449084092863372,4.920716788601475,1.0,1.0,0.0,1.0,1.0
451482,28.11962872867001,2.7419471366188435,2.093339065551155,1.0,0.0,0.0,0.0,0.0
427804,64.55427813647152,7.724194105407384,0.5483898346459296,1.0,0.0,0.0,1.0,0.0
620275,11.888979162157543,0.0340041410001222,0.9689075507906963,1.0,0.0,0.0,1.0,0.0
933743,17.44120864326491,0.2616894370993191,0.1756834665694017,1.0,0.0,0.0,1.0,0.0
56631,5.482871579633163,1.9422172433196376,1.8459056144442756,1.0,0.0,0.0,0.0,0.0
458210,26.46563872753596,1.3522831759484977,0.7942397439171722,1.0,0.0,1.0,1.0,0.0
176769,8.445212126643709,10.530237136592817,0.7371934814122763,1.0,0.0,0.0,0.0,0.0
184799,116.96982154324743,0.0416119521731611,1.0259140037893644,1.0,0.0,0.0,1.0,1.0
184826,29.98851059353335,3.067333457428413,0.3397763895078739,1.0,0.0,0.0,1.0,0.0
391271,48.10164465175375,6.199670080212825,0.3947433833749319,1.0,0.0,0.0,1.0,0.0
188070,18.88477723955884,7.205173819829835,1.2718274941249377,1.0,1.0,0.0,1.0,0.0
523202,0.646092268242017,1.259283773766286,0.5090585678776345,0.0,1.0,1.0,1.0,0.0
15899,6.184928937299118,2.4418382484903747,1.444606819050284,1.0,0.0,1.0,0.0,0.0
592779,0.7721362491901234,0.3085883454903939,0.13898287173875,0.0,0.0,0.0,1.0,0.0
755732,15.420585004162652,0.5636531342394692,1.449725250975149,1.0,1.0,1.0,1.0,0.0
710194,22.446351777173582,1.756703476811597,1.8211072890119824,1.0,0.0,0.0,1.0,0.0
188650,13.17409100549697,0.6532048923159983,0.8229037228475226,1.0,0.0,0.0,0.0,0.0
259369,10.06258709335983,0.3955355277149538,1.4436822071176028,1.0,0.0,0.0,1.0,0.0
616345,69.10459201961513,0.2555831938723721,1.3976246933632257,1.0,0.0,1.0,1.0,0.0
364231,28.859427486813136,0.7273545331995362,0.3226014012468675,1.0,1.0,0.0,1.0,0.0
800097,0.7776347417802668,0.675888479012824,1.429221283425839,0.0,1.0,0.0,1.0,0.0
362910,21.796608990168725,6.305389481326373,1.9477967530058649,1.0,1.0,0.0,1.0,0.0
565322,0.3832326176965848,0.69381232345578,3.109257724700216,0.0,0.0,0.0,0.0,0.0
623379,117.61094280385448,9.064955708065044,2.0925184634366505,1.0,0.0,0.0,0.0,0.0
713640,40.09469161044136,0.2117175417452585,0.5422529732437531,1.0,0.0,1.0,1.0,0.0
679247,105.64187010124913,23.430536324591664,0.8518441826113653,1.0,0.0,1.0,0.0,0.0
509165,0.5988768355211441,0.3632662688367019,4.457014894933469,0.0,0.0,0.0,1.0,1.0
758395,142.9405342428295,0.229011975907107,0.2895830880541195,1.0,1.0,0.0,1.0,0.0
757201,12.41037927118906,1.4127774255506815,0.5546859370129767,1.0,0.0,0.0,0.0,0.0
117559,59.7071489011811,2.4655980471620005,0.3049636000993662,1.0,0.0,0.0,0.0,0.0
191823,7.941865047888487,46.35467607263009,2.4793322542381406,1.0,1.0,0.0,1.0,0.0
308781,11.848265613823145,1.36776005827716,0.3924069380535299,1.0,0.0,0.0,1.0,0.0
595887,34.953634212369145,0.2437394751894255,0.4674196974836689,1.0,0.0,1.0,0.0,0.0
927528,69.0918973692696,0.2652098579913421,3.748020162887229,1.0,0.0,0.0,0.0,0.0
195222,16.175378720243852,2.213349852988169,2.1683202159412023,1.0,1.0,0.0,1.0,0.0
283853,24.43087254333208,0.055064672991207,0.2768411771912393,1.0,0.0,0.0,1.0,0.0
939747,37.68003189137534,0.0434239137673652,0.5796720138356855,1.0,0.0,0.0,1.0,0.0
899714,9.602586661443365,0.1510261294413798,3.500609831818099,1.0,0.0,0.0,0.0,0.0
326295,2.9476006159590638,1.1038334507653036,2.300088327290779,1.0,0.0,0.0,1.0,0.0
60409,3.741707826809869,4.341630939418293,0.6170133512863706,1.0,0.0,1.0,0.0,0.0
639133,38.06585903372893,0.244909045531253,0.2197345463806383,1.0,0.0,0.0,1.0,0.0
734922,20.48634773735496,0.0484614854298115,0.4614063261896761,1.0,0.0,1.0,1.0,0.0
152164,21.052612517577163,0.7615857154511102,0.438565795526259,1.0,0.0,0.0,1.0,0.0
126990,35.90428263304098,0.0402785504116658,1.477248890369109,1.0,1.0,0.0,1.0,0.0
21724,7.470088693783818,1.536568363422041,0.8639454287910145,1.0,0.0,0.0,0.0,0.0
964714,7.74969259397376,9.18653530762396,1.149668092209689,1.0,1.0,0.0,1.0,0.0
181970,32.91454865212613,6.577019142931904,0.1032560321299678,1.0,0.0,0.0,0.0,0.0
658631,3.651307954727373,2.3046948469825987,1.7151823045347925,1.0,0.0,0.0,0.0,0.0
809532,0.6259300606452456,0.2596748144803312,0.5991703951382517,0.0,1.0,0.0,1.0,0.0
363945,26.039677232551043,0.4941951425780802,1.6084973600737562,1.0,1.0,0.0,1.0,0.0
665024,5.056242778803283,1.5601236371850478,0.9672456142958912,1.0,0.0,0.0,0.0,0.0
154,20.63645258462792,0.2693514363619173,1.140022568276888,1.0,0.0,0.0,0.0,0.0
89017,4.711606424945992,0.1089054697876006,0.4471139443871644,1.0,0.0,0.0,1.0,0.0
855678,5.0162146219809225,16.568395109362413,1.913939492365597,1.0,0.0,0.0,1.0,0.0
430139,7.363809531158004,0.1970056556385079,0.0967455826731463,1.0,1.0,1.0,1.0,0.0
571559,23.423118985092437,2.139330088867163,0.4542337727050163,1.0,1.0,0.0,1.0,0.0
181348,9.007544876250543,0.2686708000206785,0.1379945195424425,1.0,1.0,0.0,1.0,0.0
759548,13.178272871997017,0.4630895588346398,0.3469324909486729,1.0,0.0,0.0,0.0,0.0
602215,11.307419817600069,1.3558238998921497,0.484853727967748,1.0,0.0,0.0,0.0,0.0
184284,12.7380866369069,13.450070945092431,0.4158613490754823,1.0,1.0,1.0,1.0,0.0
990835,5.479244936845939,30.95904290369553,0.1140299519458575,1.0,1.0,0.0,0.0,0.0
809897,4.242364788560967,0.5251547543078732,0.6497031584544705,1.0,0.0,0.0,1.0,0.0
357256,1.1868645002813538,0.4140251272187368,2.5448663239517995,0.0,0.0,0.0,1.0,0.0
68033,5.0214660631839445,0.2089096308564016,0.4714093728491229,1.0,0.0,1.0,1.0,0.0
735945,25.119232714059603,0.3852936634672124,1.6626246020974282,1.0,1.0,0.0,1.0,0.0
578727,4.441264240367785,0.0384853694497609,0.4026711102570785,1.0,0.0,0.0,0.0,0.0
810629,36.449544363098326,3.2602518921936783,0.212647185187022,1.0,0.0,0.0,1.0,0.0
870735,78.6030559662066,2.1250177080706365,2.355059218827859,1.0,0.0,0.0,1.0,0.0
906885,59.2963178610641,0.0265646958879852,0.281901241407178,1.0,1.0,0.0,1.0,0.0
45716,0.586050640177176,2.808428195085099,1.8634804347160967,0.0,0.0,0.0,0.0,0.0
907003,1.27220751006776,1.2075543697482092,1.2823509683443255,0.0,1.0,0.0,0.0,0.0
642829,1.388988060920444,17.499935785353458,4.007037878412247,0.0,0.0,0.0,0.0,1.0
82830,42.3733390222684,28.50523387947709,1.3242384161055116,1.0,1.0,0.0,1.0,0.0
682727,3.816564502532997,1.936026365415525,1.6762512886350442,1.0,1.0,0.0,1.0,0.0
334687,0.8911592286377104,4.666568476562895,6.117280849076638,0.0,0.0,0.0,1.0,1.0
801958,7.546311297401984,0.2126729908832221,0.2156157395593108,1.0,0.0,0.0,1.0,0.0
597454,20.032627541465665,0.0252109972840347,4.719691964967145,1.0,0.0,0.0,1.0,1.0
396411,0.8097281347804125,0.1125507201024035,0.7598375568764707,0.0,0.0,0.0,0.0,0.0
694932,12.395401076337423,0.8014321267199425,0.9508417526984396,1.0,0.0,1.0,1.0,0.0
57526,1.758023696410115,4.428951622153528,0.7868059326319797,0.0,1.0,0.0,1.0,0.0
567593,16.15796991765831,0.3725179357503533,0.5610119680644088,1.0,0.0,0.0,1.0,0.0
151099,41.44177995853411,266.07953597347705,0.6175837365749185,1.0,0.0,0.0,1.0,1.0
223638,13.564885125413024,0.3476979496711047,4.511006412598478,1.0,0.0,0.0,0.0,0.0
849815,23.625707704303466,1.2198503482014618,0.2906652532292093,1.0,0.0,0.0,1.0,0.0
550997,2.8947849766611347,0.3576415873317913,1.7098376656492362,1.0,0.0,0.0,1.0,0.0
204399,3.1633900488241222,2.34746856438525,7.089890814345385,1.0,1.0,0.0,0.0,0.0
445872,8.571770869652182,0.2027905754843318,2.8217223913254474,1.0,0.0,0.0,1.0,0.0
409371,7.175586021216504,3.670264994569456,7.556977025081812,1.0,1.0,0.0,1.0,1.0
960438,11.20494133164437,0.1219808551489683,2.6313163146678797,1.0,1.0,0.0,0.0,0.0
323811,14.153424695920116,1.603481034132492,0.9861581395746056,1.0,1.0,0.0,0.0,0.0
572359,1.3312069174271817,199.3557210941656,3.061546734515936,0.0,1.0,0.0,1.0,1.0
294623,6.888693634030216,0.7610345461344438,0.7363130232318716,1.0,0.0,0.0,1.0,0.0
851310,29.2520007949932,2.335751889975611,1.177591493487813,1.0,0.0,0.0,1.0,0.0
271564,31.687316907342776,0.4409890407179196,2.963328903325042,1.0,0.0,1.0,1.0,0.0
